386,68,507,68,507,120,386,120
524,68,670,68,670,120,524,120
678,68,833,68,833,120,678,120
386,137,704,137,704,197,386,197
722,135,964,146,961,204,719,193
2363,146,2440,146,2440,180,2363,180
2767,4365,2956,4365,2956,4391,2767,4391
2638,4442,2844,4442,2844,4494,2638,4494
2939,4442,3214,4442,3214,4494,2939,4494
2268,4614,2440,4614,2440,4649,2268,4649
2655,4614,2939,4614,2939,4649,2655,4649
2982,4614,3110,4614,3110,4649,2982,4649
3239,4614,3308,4614,3308,4649,3239,4649
3342,4614,3540,4614,3540,4649,3342,4649
2483,4623,2552,4623,2552,4649,2483,4649
2517,4717,2629,4717,2629,4760,2517,4760
2260,4726,2414,4726,2414,4752,2260,4752
2689,4726,2801,4726,2801,4769,2689,4769
2827,4726,3110,4726,3110,4769,2827,4769
3212,4794,3513,4779,3515,4821,3214,4835
2397,4795,2500,4795,2500,4829,2397,4829
2595,4795,2707,4795,2707,4838,2595,4838
2724,4795,2982,4795,2982,4829,2724,4829
3025,4795,3179,4795,3179,4829,3025,4829
2158,4864,2289,4875,2285,4917,2154,4906
2517,4872,2569,4872,2569,4907,2517,4907
2595,4872,2775,4872,2775,4915,2595,4915
2801,4869,2925,4883,2921,4921,2797,4907
2956,4872,3033,4872,3033,4907,2956,4907
3059,4872,3257,4872,3257,4907,3059,4907
3282,4872,3403,4872,3403,4915,3282,4915
2337,4881,2492,4881,2492,4915,2337,4915
369,4898,498,4898,498,4932,369,4932
498,4907,575,4907,575,4932,498,4932
3360,4915,3617,4915,3617,4958,3360,4958
2328,4924,2414,4924,2414,4958,2328,4958
2440,4924,2543,4924,2543,4958,2440,4958
2621,4924,2724,4924,2724,4967,2621,4967
2801,4924,2853,4924,2853,4975,2801,4975
2973,4924,3093,4924,3093,4967,2973,4967
3136,4924,3188,4924,3188,4975,3136,4975
2148,4932,2285,4932,2285,4958,2148,4958
2260,4967,2320,4967,2320,5018,2260,5018
2148,4975,2217,4975,2217,5027,2148,5027
2337,4975,2423,4975,2423,5027,2337,5027
465,5028,610,5053,600,5108,455,5084
249,5044,386,5044,386,5104,249,5104
249,5104,601,5104,601,5156,249,5156
2810,5156,3050,5156,3050,5190,2810,5190
3290,5162,3548,5150,3550,5181,3291,5194
292,5164,567,5164,567,5225,292,5225
2268,5164,2354,5164,2354,5190,2268,5190
2380,5164,2552,5164,2552,5190,2380,5190
2638,5164,2724,5164,2724,5190,2638,5190
3136,5164,3265,5164,3265,5190,3136,5190
2311,5199,2380,5199,2380,5225,2311,5225
2397,5199,2500,5199,2500,5225,2397,5225
2526,5199,2681,5199,2681,5225,2526,5225
2724,5199,2878,5199,2878,5225,2724,5225
2964,5199,3025,5199,3025,5225,2964,5225
3042,5199,3110,5199,3110,5225,3042,5225
3196,5199,3325,5199,3325,5225,3196,5225
2234,5233,2311,5233,2311,5259,2234,5259
2595,5233,2681,5233,2681,5259,2595,5259
2707,5233,2896,5233,2896,5259,2707,5259
2913,5233,3050,5233,3050,5259,2913,5259
3136,5233,3222,5233,3222,5259,3136,5259
3394,5233,3480,5233,3480,5259,3394,5259
2526,5267,2750,5267,2750,5302,2526,5302
2793,5265,2881,5276,2877,5307,2789,5296
2913,5267,2982,5267,2982,5293,2913,5293
3007,5267,3076,5267,3076,5293,3007,5293
3093,5267,3179,5267,3179,5293,3093,5293
3196,5267,3385,5267,3385,5293,3196,5293
3411,5267,3549,5267,3549,5293,3411,5293
2311,5276,2509,5276,2509,5302,2311,5302
2369,5311,2440,5299,2445,5331,2374,5343
2896,5302,3067,5302,3067,5336,2896,5336
3093,5302,3265,5302,3265,5328,3093,5328
3265,5302,3351,5302,3351,5328,3265,5328
3377,5302,3549,5302,3549,5328,3377,5328
2509,5310,2569,5310,2569,5336,2509,5336
2689,5310,2878,5310,2878,5336,2689,5336
2234,5345,2294,5345,2294,5371,2234,5371
2397,5345,2483,5345,2483,5371,2397,5371
